# ind calculated fitted
99 7804.2081468572996528 7805.6293399288369983
100 8864.7409144098000979 8858.1343964936040720
101 15775.2313445344007050 15765.5867697484081873
102 7490.5590052138004467 7492.4059443847654620
103 8436.5055177564991027 8436.8842335307490430
104 6126.9812482056995577 6127.5990183018584503
105 19894.9181913309985248 19888.3414560737292049
106 9799.4242473504000372 9796.2150190495267452
107 6498.4864282524004011 6499.3869634637812851
108 6360.4485423286996593 6362.9143986530816619
109 6861.0599745046001772 6862.6776222313219478
110 25493.9594501065985241 25562.1350232647164376
111 18617.3726945820999390 18593.3973766796298150
112 12360.4691378997995344 12353.4921927396098909
113 10200.0107537596995826 10202.6123456177319895
114 13603.7592246362000878 13598.4536385277424415
115 8836.4851888999000948 8837.1419838235724455
116 8757.2078017944004387 8757.1952661565410381
117 23353.3918468408010085 23364.7779144522501156
118 16117.5699989823006035 16114.0324241863218049
119 9443.1300404252997396 9444.1882946999940032
120 13969.9041000974993949 13970.6620885474476381
121 8908.7845920388008381 8908.5744608633685857
122 12269.2858615385994199 12269.8655202990976250
123 26743.8882685489006690 26777.5661021849009558
124 12944.1819971929999156 12929.6432595103797212
125 37854.1974409488975652 37422.1346958773065126
126 13773.5078840067999408 13773.3102844810091483
127 14330.7784231746009027 14324.4915396851683909
128 9018.5167158942003880 9020.3685990506000962
129 13368.0728003356998670 13372.5571533510355948
130 8458.9634663147007814 8462.4548380776832346
131 14696.8571323411997582 14679.2426334664014576
132 34749.6805738819020917 34713.8194915450221743
133 18635.9228794357004517 18620.9558003998827189
134 8669.0437880099998438 8669.7909521391120506
135 37087.3826879265980097 36563.6487582567642676
136 32479.0346690373007732 32357.2046598115703091
137 8966.2764897881006618 8966.7183100979164010
138 8842.9156070696008101 8839.9943420748713834
139 9234.9782259724997857 9235.7006385835920810
140 8930.8429992698002025 8932.4625982480902167
141 16055.8519671966005262 16045.1361480834275426
142 19423.2956274866010062 19448.5371568488335470
143 10451.3435335710000800 10447.0173558233254880
144 33139.7942877044988563 33167.8936781682496076
145 18464.9971794736011361 18472.8128857759656967
146 9161.8259585657997377 9158.6104848566319561
147 8647.0558573180005624 8648.6852539807478024
148 13715.4866199730004155 13709.7106961672761827
149 24449.4610433976013155 24456.2534416218877595
150 8610.1506974917992920 8613.1938243074528145
151 29804.4999540341996180 29644.7242920520402549
152 17617.1280087238010310 17602.5985642018240469
153 14621.9817909723005869 14616.2068516370491125
154 12693.9135058145002404 12698.3830556935135974
155 10001.6053235983999912 9998.5641814430600789
156 9038.6121440618007910 9039.4703143038586859
157 27752.6464881339998101 27604.4650272873077483
158 15013.5586285276003764 15022.1700053597778606
159 25755.1463070493009582 25829.3228354211532860
160 11538.4961758755998744 11537.1437547752721002
161 21663.2488214359982521 21658.8542724521576019
162 19558.3970533274987247 19554.7862295276718214
163 8890.1421032285998081 8891.7818144698194374
164 9641.3930627778008784 9641.2955821351679333
165 21980.4094173275989306 21982.0881743341524270
166 17624.2064034647009976 17614.4176733024905843
167 32648.9378427992014622 32519.6854938230280823
168 10990.6908984631991189 10985.8612700981066155
169 9650.5753034997997020 9647.3975075559646939
170 10782.1658587256006285 10784.1671778639865806
171 8637.2538965950006968 8638.9036387577943970
172 21338.2083041026016872 21317.6883774441739661
173 17955.7473212918011995 17948.7877790605234622
174 21794.7917268072014849 21766.4564007998233137
175 18818.5914754537989211 18818.5489616806880804
176 9626.9989180759002920 9626.2907818935382238
177 11526.4651890750992607 11524.1173478240925760
178 36591.3964064835963654 35958.6471453289414058
179 8619.7151571724007226 8619.5582411603245419
180 8638.2551480318998074 8638.0345044843415963
181 35251.6639439580976614 34946.8684446212719195
182 11459.7692448408997734 11456.5759630905340600
183 12488.8463006553993182 12488.1660239504126366
184 8871.9265658465992601 8869.7933426476993191
185 8568.9959193996000977 8572.2851746036612894
186 11552.6574168451006699 11540.8410905004293454
187 10380.3587099299002148 10382.6116752261332294
188 9760.5366014213996095 9759.5245371323435393
189 25483.8710464998002863 25449.6824959610821679
190 15552.2983319109007425 15545.4488565482424747
191 27459.8910761970983003 27511.0163140868171467
192 10189.2539748020008119 10186.7892866386573587
193 10067.7347203726003499 10070.6499399970998638
194 8967.8990956222005480 8969.2571938383880479
195 20942.5455775904010807 20938.5739478706236696
196 9364.9730115756992745 9367.0279928161908174
197 20288.4572436673006450 20307.5401377262460301
198 12350.1390811263991054 12350.0652583598021010
199 10775.3708307849992707 10775.1447562571993330
200 18635.0728334509003616 18634.1715093526800047
201 30135.0128477936996205 30048.9120461431230069
202 8372.0887582515006216 8376.8747097464729450
203 14267.1229752448998624 14253.9383547841680411
204 8447.8212329407997458 8449.0717167965394765
205 11854.4854965562008147 11856.2126424494490493
206 10636.2459110653999232 10637.9279844925767975
207 9425.1388197719006712 9425.8467164274006791
208 10479.1854964296999242 10479.5844080953847879
209 15763.3137313565002842 15750.1117532623720763
210 10665.1290042355994956 10663.8500708350984496
211 13153.1386032032005460 13144.9565807239396236
212 28087.4743257361988071 28051.7682109144770948
213 25014.8404847095007426 25039.3352623308019247
214 9506.3800781272002496 9509.7077604263286048
215 10212.1493030010005896 10214.5661867916169285
216 9503.8535827281993988 9504.4426985865356983
217 30016.7554040356990299 29830.0234893427150382
218 39867.2193031842980417 39206.2479369787470205
219 15132.1458840058003261 15139.4103210941721045
220 10511.3581805663998239 10509.8320504526309378
221 12610.6101904367005773 12610.6825458328203240
